7324616512731028653	313726	12191	4182	1389449255
8697346398087615874	319779	16425	8634	1392266531
7133189584502923316	78592	6454	2193	1403158653
3574287269715258297	405860	4785	9344	1410658282
988707734558463343	332064	10634	3451	1398855682
1745226780223471599	170744	8125	6417	1408941502
4057303089548358041	45073	4871	2691	1389600536
3594133895443836259	148506	5390	6567	1391153450
2095294894665550365	159119	9850	1401	1403397157
2907925444871850240	368186	6926	21585	1410378749
6779587580707513422	237440	2946	18195	1403259948
1669417448651284496	351853	8093	233	1390581917
3801115721616043184	440819	2869	7610	1401872799
1157422740637947648	453963	10622	27581	1394573584
8294266615256980767	300935	8630	7407	1413498433
4558592059480327766	447518	14129	13692	1400700099
